"filename", "language", "Go", "Protocol Buffers", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/balancerPrototype.go", "Go", 55, 0, 0, 0, 0, 8, 63
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/consistentHashBalancer.go", "Go", 91, 0, 0, 0, 0, 19, 110
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/dynamicBalancer.go", "Go", 55, 0, 0, 0, 0, 15, 70
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/myPicker.go", "Go", 93, 0, 0, 0, 0, 12, 105
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/randomBalancer.go", "Go", 42, 0, 0, 0, 0, 14, 56
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/staticBalancer.go", "Go", 52, 0, 0, 0, 0, 15, 67
"/data/home/ziruigao/src/mini-game-router-v1/core/balancer/weightBalancer.go", "Go", 60, 0, 0, 0, 0, 17, 77
"/data/home/ziruigao/src/mini-game-router-v1/core/config/config.go", "Go", 133, 0, 0, 0, 0, 23, 156
"/data/home/ziruigao/src/mini-game-router-v1/core/etcd/discovery.go", "Go", 72, 0, 0, 0, 0, 14, 86
"/data/home/ziruigao/src/mini-game-router-v1/core/etcd/register.go", "Go", 74, 0, 0, 0, 0, 10, 84
"/data/home/ziruigao/src/mini-game-router-v1/core/init/init.go", "Go", 19, 0, 0, 0, 0, 4, 23
"/data/home/ziruigao/src/mini-game-router-v1/core/metrics/clientMetrics.go", "Go", 48, 0, 0, 0, 0, 13, 61
"/data/home/ziruigao/src/mini-game-router-v1/core/metrics/serverMetrics.go", "Go", 34, 0, 0, 0, 0, 11, 45
"/data/home/ziruigao/src/mini-game-router-v1/core/netToolkit/netToolkit.go", "Go", 86, 0, 0, 0, 0, 18, 104
"/data/home/ziruigao/src/mini-game-router-v1/core/resolver/myResolver.go", "Go", 70, 0, 0, 0, 0, 13, 83
"/data/home/ziruigao/src/mini-game-router-v1/core/router/router.go", "Go", 161, 0, 0, 0, 0, 23, 184
"/data/home/ziruigao/src/mini-game-router-v1/core/tools/randomPickMap.go", "Go", 52, 0, 0, 0, 0, 13, 65
"/data/home/ziruigao/src/mini-game-router-v1/demo/client/client.go", "Go", 103, 0, 0, 0, 0, 15, 118
"/data/home/ziruigao/src/mini-game-router-v1/demo/control/control.go", "Go", 41, 0, 0, 0, 0, 8, 49
"/data/home/ziruigao/src/mini-game-router-v1/demo/server/server.go", "Go", 75, 0, 0, 0, 0, 15, 90
"/data/home/ziruigao/src/mini-game-router-v1/go.mod", "Go Module File", 0, 0, 35, 0, 0, 6, 41
"/data/home/ziruigao/src/mini-game-router-v1/go.sum", "Go Checksum File", 0, 0, 0, 103, 0, 1, 104
"/data/home/ziruigao/src/mini-game-router-v1/proto/hello.pb.go", "Go", 185, 0, 0, 0, 0, 26, 211
"/data/home/ziruigao/src/mini-game-router-v1/proto/hello.proto", "Protocol Buffers", 0, 12, 0, 0, 0, 4, 16
"/data/home/ziruigao/src/mini-game-router-v1/proto/hello_grpc.pb.go", "Go", 95, 0, 0, 0, 0, 16, 111
"/data/home/ziruigao/src/mini-game-router-v1/test/test.go", "Go", 40, 0, 0, 0, 0, 3, 43
"/data/home/ziruigao/src/mini-game-router/cmd/mini-game-router/main.go", "Go", -29, 0, 0, 0, 0, -9, -38
"/data/home/ziruigao/src/mini-game-router/core/balancer/balancerPrototype.go", "Go", -39, 0, 0, 0, 0, -6, -45
"/data/home/ziruigao/src/mini-game-router/core/balancer/consistentHashBalancer.go", "Go", -83, 0, 0, 0, 0, -18, -101
"/data/home/ziruigao/src/mini-game-router/core/balancer/myBalancer.go", "Go", -98, 0, 0, 0, 0, -14, -112
"/data/home/ziruigao/src/mini-game-router/core/balancer/randomBalancer.go", "Go", -56, 0, 0, 0, 0, -17, -73
"/data/home/ziruigao/src/mini-game-router/core/balancer/weightBalancer.go", "Go", -73, 0, 0, 0, 0, -20, -93
"/data/home/ziruigao/src/mini-game-router/core/config/config.go", "Go", -51, 0, 0, 0, 0, -12, -63
"/data/home/ziruigao/src/mini-game-router/core/etcd/discovery.go", "Go", -128, 0, 0, 0, 0, -23, -151
"/data/home/ziruigao/src/mini-game-router/core/etcd/register.go", "Go", -74, 0, 0, 0, 0, -11, -85
"/data/home/ziruigao/src/mini-game-router/core/proxy/redirector/redirector.go", "Go", -46, 0, 0, 0, 0, -11, -57
"/data/home/ziruigao/src/mini-game-router/core/proxy/sidecar/sidecar.go", "Go", -65, 0, 0, 0, 0, -18, -83
"/data/home/ziruigao/src/mini-game-router/core/router/router.go", "Go", -34, 0, 0, 0, 0, -6, -40
"/data/home/ziruigao/src/mini-game-router/core/stateful/stateful.go", "Go", -58, 0, 0, 0, 0, -11, -69
"/data/home/ziruigao/src/mini-game-router/demo/client/client.go", "Go", -57, 0, 0, 0, 0, -10, -67
"/data/home/ziruigao/src/mini-game-router/demo/server/server.go", "Go", -60, 0, 0, 0, 0, -14, -74
"/data/home/ziruigao/src/mini-game-router/go.mod", "Go Module File", 0, 0, -34, 0, 0, -5, -39
"/data/home/ziruigao/src/mini-game-router/go.sum", "Go Checksum File", 0, 0, 0, -102, 0, -1, -103
"/data/home/ziruigao/src/mini-game-router/proto/hello.pb.go", "Go", -185, 0, 0, 0, 0, -26, -211
"/data/home/ziruigao/src/mini-game-router/proto/hello.proto", "Protocol Buffers", 0, -12, 0, 0, 0, -4, -16
"/data/home/ziruigao/src/mini-game-router/proto/hello_grpc.pb.go", "Go", -95, 0, 0, 0, 0, -16, -111
"/data/home/ziruigao/src/mini-game-router/utils/logger/logger.go", "Go", -9, 0, 0, 0, 0, -4, -13
"Total", "-", 496, 0, 1, 1, 0, 80, 578
